Código;Nível;Unidade;Ativa;"Nome da Disciplina";"Nome Abreviado";"Nome em Inglês"
23142;Graduação;C3;Sim;"Sistemas de Acionamento";"Sis. Aci.";
23021;Graduação;C3;Sim;"Sistemas de Automação";"Sistemas de Automaç.";"Automation Systems"
23071;Graduação;C3;Sim;"Sistemas de Automação I";"Sist. Automação I";"automation systems I"
23073;Graduação;C3;Sim;"Sistemas de Automação II";"Sist. Automação II";"automation systems II"
23138;Graduação;C3;Sim;"Sistemas de Automação II";"Sis. Aut. II";
23063P;Pós-Graduação;C3;Sim;"Sistemas de Automação Industrial – Hardware";"Sist Aut Ins Hardwar";
23068P;Pós-Graduação;C3;Sim;"Sistemas de Automação Industrial – Software";"Sist Aut Ind - Softw";
23037;Graduação;C3;Sim;"Sistemas de Computação I";"Sist. Comp. I";"Computer Systems I"
23040;Graduação;C3;Sim;"Sistemas de Computação II";"Sist. Comp. II";"Computer Systems II"
23062P;Pós-Graduação;C3;Sim;"Sistemas de Computação para Automação com o uso de CLPs";"Sist Comp Aut CLPs";
